Date,Open,High,Low,Close,High_Last_22_Days,Low_Last_22_Days,Days_Since_High_Last_22_Days,Days_Since_Low_Last_22_Days,%_Diff_From_High_Last_22_Days,%_Diff_From_Low_Last_22_Days,High_Next_6_Days,%_Diff_From_High_Next_6_Days,Low_Next_6_Days,%_Diff_From_Low_Next_6_Days
2021-01-03,33144.24,33629.4,32720.53,33097.83,34800.0,32000.0,0,2,-4.8912931034482705,3.430718750000005,33669.76,-1.6986459065939294,32450.97,1.9933456534581264
2021-01-04,33068.83,33148.89,32450.97,32895.35,34800.0,32000.0,1,3,-5.47313218390805,2.7979687499999955,33669.76,-2.300016394533265,32640.34,0.7812724989996991
2021-01-04,32891.23,33360.89,32640.34,33239.84,34800.0,32000.0,1,3,-4.483218390804608,3.874499999999989,33669.76,-1.2768727784219593,31748.18,4.698411058523658
2021-01-04,33217.79,33629.4,33011.39,33502.96,34800.0,32000.0,1,3,-3.7271264367816115,4.696749999999997,33669.76,-0.4954000266114249,31407.34,6.672389320458208
2021-01-04,33524.7,33593.25,33228.64,33593.17,34800.0,32000.0,1,3,-3.4679022988505794,4.978656249999994,33669.76,-0.22747414890989356,30261.13,11.010956960298564
2021-01-04,33590.85,33669.76,33249.25,33331.88,34800.0,32000.0,1,3,-4.218735632183916,4.162124999999992,33468.46,-0.4080857021805059,27734.0,20.184178264945547
2021-01-04,33336.76,33390.8,32884.2,32884.55,34652.95,32000.0,1,3,-5.1031730343303945,2.7642187500000093,33468.46,-1.744657507396505,27734.0,18.571248287300797
2021-01-04,32910.35,33468.46,32889.66,33280.06,34622.67,32000.0,1,3,-3.877834956114016,4.000187499999993,33300.0,-0.059879879879886876,27734.0,19.997331794908767
2021-01-04,33279.41,33300.0,31748.18,32092.71,34622.67,31748.18,1,0,-7.3072354038553335,1.0851960647822925,32557.9,-1.4288083690901512,27734.0,15.716124612389121
2021-01-04,32111.77,32557.9,31407.34,32044.41,34622.67,31407.34,1,0,-7.446739376252608,2.028411193052324,32169.78,-0.3897135759088156,27734.0,15.541970144948438
2021-01-04,32026.23,32100.0,30261.13,31000.0,34622.67,30261.13,1,0,-10.463288937566046,2.4416470898475997,32246.97,-3.8669369556271525,27734.0,11.77615922694166
2021-01-04,31009.39,31182.16,27734.0,30270.0,34404.49,27734.0,1,0,-12.01729774224236,9.144010961274969,32246.97,-6.130715536994642,29402.55,2.950254314676791
2021-01-04,30286.76,30921.48,29402.55,30796.34,34192.68,27734.0,1,0,-9.932944712143067,11.04182591764621,32246.97,-4.498500169163183,30461.85,1.0980620021436702
2021-01-04,30796.48,31463.0,30461.85,31268.33,33950.0,27734.0,1,0,-7.898880706921939,12.743672027114739,32246.97,-3.0348277683143543,30600.01,2.184051573839366
2021-01-04,31243.73,31433.0,30600.5,31433.0,33872.26,27734.0,1,0,-7.2013500132556905,13.337419773563136,32246.97,-2.524175139555751,30600.01,2.7221886528795305
2021-01-04,31433.0,32169.78,31433.0,32144.43,33872.26,27734.0,1,0,-5.101017764979372,15.902610514170334,32246.97,-0.31798336401838956,30600.01,5.047122533620094
2021-01-04,32147.25,32246.97,31581.04,31792.05,33872.26,27734.0,1,0,-6.141338074282621,14.632040095190016,31939.12,-0.46046979378267067,30600.01,3.8955542824986034
2021-01-04,31785.85,31939.12,30700.0,31298.75,33872.26,27734.0,1,0,-7.597692034721043,12.853356890459363,31887.58,-1.846581019945702,30600.01,2.2834633060577483
